loc_branchid,swiq_location_id
000882-119529,5caccc5b93b062ce2f5fc917
134398-121187,5cc25fcdba0a01213f45275d
134365-121159,5cc364b76fdb698774cd3731
"Denville #53-121056",5cd3426a4f4eaee3208f375f
"Eugene Whiteaker #61-121055",5cd3426dc038aeed10eaa2ba
"Walnut Creek #19-118789",5cd3426a64eb9465024e95a3
134317-121112,5cd075028dcedd8b41d0e209
"Lake Forest #54-119446",5cd32f8f7ba872d00600c1a6
"Charlotte Midtown #38-121243",5cd58aed7079cb3640563b4d
5-121291,5cd609a2085cfbb619165f02
134620-116894,5cda5a303b11156f02564eab
134630-121268,5cdaf9075016fd4c73136797
134529-121268,5cdaf907b1ae20a627a13a36
134523-121264,5cdb12e0cee1f59c5a841b00
134525-121264,5cdb12df167bcb28743d570c
107279-106571,5cdb4bd66e5ba1155521ff71
"Sunnyvale #69-119245",5cdc626e90e961a2491f8889
"Santa Clara Square #57-121386",5ce7232ebfcb99ff2562b792
Northwest-118309,5cec2dcd7344c85d15385312
55-121006,5ceeee65d0c1ea952564a65c
126822-117342,5cef5cd144e0bb886ae1118e
126639-117342,5cef5cd140ca80712975fabe
134761-121493,5cf659a0777db3b3760fa7e1
134791-121378,5cfa4b9f184485ed7316e3be
134811-121532,5cfa96033f40da443497dd09
134813-121532,5cfa960c3a6ca290104d7f02
134812-121532,5cfa9627789cbf68640e9a4b
134810-121530,5cfa9e021bcc37db65b1252a
134854-121550,5cffde8e3a6ca2901052c7d8
TX102V-121563,5d0100284c38b9c64c6d1ac9
134870-121567,5d0118fcb411723d5dccabaf
134869-121565,5d0119e5b411723d5dccabb2
"City Park #29-119489",5d013821a3e08b87787af45a
134887-121579,5d0283520da017fe07a07211
4-116457,5d0502841bcc37db65beeeb0
"Pleasanton #41-119860",5d098f4ca3e08b877886c010
134946-121563,5d0b9b9fc2c132743d846db8
134949-121629,5d0bd5c0c2c132743d851b01
134950-121629,5d0bd5f21ecb4f8f1a994fec
134876-121571,5d154f077a3892b06c5059c1
"San Jose Downtown #25-119851",5d154f13185884c7020cd469
"St. Petersburg #66-121569",5d1672a9085a0a4d60098790
134983-121661,5d169042350129aa27848ed0
6-121624,5d1a16e520524aea17709e78
23956-26032,5d1a1f032b52c7f7295daa1c
134793-121518,5d1a59b8f46f0d5c08106962
107575-106732,5d1a6f78878a905121a4ba49
107450-106732,5d1a6f8415df165b2d23e8fb
"Issaquah #30-119461",5d281e13f0beb46b029f1788
133467-120221,5d284a11b1cb57bf4bd60861
133627-120475,5d284a4ee95330a158f7d1f9
133868-120689,5d284a59e95330a158f7d1fc
134530-121269,5d284b272227bef055adaaf6
"The Pearl-118309",5d434e6e90e08036263cbf8b
132952-119728,5d440d90a23cdcdd4f013984
17-121068,5d4946f5cb733ecc4413052e
Alberta-118309,5d4b382dc28b326a121c07ca
Southwest-118309,5d4b38920eec9de57dd7bceb
135431-122035,5d4d414ec9a6ea9255a9bd47
135416-122019,5d52844f28d3155564b4a05e
Sellwood-118309,5d548639ec1b713156889821
"Navy Yard #63-122004",5d54b49fca04efb5011eabe0
135482-117342,5d571bd220fa122d03760a02
"Nautilus by Arlo-99568",5d582d15453553992f00ddbf
Hawthorne-118309,5d60658bf28d868b135f6a84
1LA-121073,5d61158f1e8a96bf05233300
135531-122126,5d61159ba6cb915777494259
52-121896,5d6493e56967555b6f6da48e
44-121896,5d6493f2a323b0dd3a6965e5
43668-120664,5d6510d2b1b05d773e659640
38926-120664,5d6510eafb985d2f06216ac2
133836-120658,5d66487e1e8a96bf052a26a5
134450-120658,5d66488aa323b0dd3a6c815b
134452-120658,5d66488a2f752dda46fff2e9
0115-121611,5d66e1a48bc3778951640f24
0067-121611,5d66e1a46c98977a063a1d41
0195-121611,5d66e1a402ced75850dc30ff
4045-121611,5d66e1b07f339c8b4e6e8f2b
0207-121611,5d66e1bc7622b3a757fc3523
0032-121611,5d66e1c8de877adb5fbd50a6
7-121968,5d672ed5de877adb5fbdc83b
20-121969,5d688c76ed6117f155b0c25f
043169-119675,5d6f7a3bdee80d0f29423445
004372-119675,5d6f7ae20b1bd1930fab0dd6
9-122061,5d70425aeeb395b1118cccf1
48-122202,5d7043b8d88cd40520281443
4031-121613,5d710208d37fb9f33fd923be
4108-121613,5d710211da3f48c14bb239b0
4129-121615,5d710935498c133b129160a3
7019-121615,5d710935d88cd4052028b157
135480-122076,5d718d453dd0f141229a4c8a
8055-121612,5d72a4180ae7644d29aa15d8
49-122063,5d785d9ab93f11d84931f5c3
43-122062,5d78b92cfd50fa7c554ff956
4234-121612,5d809423399cea85153ae6ac
4220-121612,5d8094f70d9bfa4e0a4d6369
2-122345,5d809d2778ee5bb507560c41
4144-122378,5d80e508093e88f74ea9a99a
Via6-118309,5d8131630d9bfa4e0a4eae03
"West Seattle-118309",5d813ede093e88f74eaa8c15
"Capitol Hill-118309",5d8140ad24c8374074830366
52-122342,5d8272e9399cea85153e09cb
47-121966,5d829804093e88f74eac13f8
60-122341,5d83448378ee5bb50759f917
